0,1,2,3,4,Decade
soul,funk,70s,rhythm and blues,rnb,1970
classic rock,70s,folk,singer-songwriter,rock,1970
christmas,glam rock,70s,xmas,,1970
reggae,chillout,happy,bob marley,,1970
christmas,classic rock,rock,,,1970
christmas,folk,female vocalists,singer-songwriter,joni mitchell,1970
reggae,acoustic,bob marley,roots reggae,,1970
country,folk,cover,acoustic,,1970
soul,70s,oldies,bill withers,,1970
christmas,pop,xmas,,,1970
rb,soul,london,stevie wonder,,1970
pop,70s,disco,abba,swedish,1970
country,willie nelson,love songs,love,,1970
disco,70s,dance,female vocalists,pop,1970
folk,singer-songwriter,acoustic,classic rock,james taylor,1970
70s,folk,singer-songwriter,classic rock,pop,1970
oldies,elvis,rock n roll,rock,,1970
reggae,70s,roots reggae,jamaica,,1970
classic rock,70s,rock,british,george harrison,1970
beautiful,radio paradise,radioparadise,,,1970
blues,rock,eric clapton,acoustic,cover,1970
christmas,,,,,1970
romantic,uplifting,folk,70s,,1970
rock,classic rock,punk,70s,punk rock,1970
folk,singer-songwriter,americana,70s,male vocals,1970
folk,female vocalists,singer-songwriter,acoustic,,1970
country,folk,,,,1970
70s,easy listening,oldies,female vocalists,pop,1970
funk,soul,disco,70s,rnb,1970
folk,female vocalists,singer-songwriter,70s,acoustic,1970
chanson francaise,french,rock,rock francais,,1970
jazz,swing,,,,1970
70s,folk,singer-songwriter,acoustic,mellow,1970
pop,70s,abba,disco,,1970
christmas,joulu,suomi,joululaulu,,1970
folk,70s,singer-songwriter,classic rock,acoustic,1970
christmas,xmas,,,,1970
country,johnny cash,classic country,folk,,1970
70s,singer-songwriter,folk,classic rock,pop,1970
pop,70s,abba,swedish,,1970
christmas,,,,,1970
reggae,bob marley,roots reggae,70s,,1970
folk,singer-songwriter,acoustic,leonard cohen,,1970
folk,70s,folk-rock,singer-songwriter,,1970
soul,70s,soft rock,classic rock,,1970
classic country,country,,,,1970
reggae,roots reggae,bob marley,jamaican,,1970
best love song ever,smoothie,,,,1970
disco,pop,70s,dance,,1970
country,willie nelson,classic country,80s,,1970
,,,,,1970
country,old school,nice vocal,,,1970
christmas,,,,,1970
soul,70s,motown,easy listening,,1970
folk,rock,singer-songwriter,bob dylan,,1970
pop,70s,singer-songwriter,soft rock,oldies,1970
funk,soul,70s,motown,funky,1970
70s,carpenters,pop,easy listening,oldies,1970
pop,70s,disco,swedish,,1970
christmas,xmas,70s,,,1970
reggae,70s,oldies,pop,soul,1970
christmas,80s,soft rock,pop,chris de burgh,1970
folk,70s,country,singer-songwriter,soft rock,1970
soul,70s,female vocalists,oldies,roberta flack,1970
lyrics,best songs ever,better-late-than-never,,,1970
christmas,holiday,,,,1970
mellow,guitar,acoustic,easy,,1970
christmas,xmas,,,,1970
country,john denver,folk,singer-songwriter,70s,1970
soul,love,oldies,,,1970
country,willie nelson,classic country,acoustic,,1970
celtic,folk,scottish,,,1970
classic rock,singer-songwriter,rock,folk rock,neil young,1970
classic rock,jackson browne,singer-songwriter,70s,rock,1970
classic rock,70s,pop,rock,,1970
progressive rock,psychedelic rock,classic rock,rock,pink floyd,1970
blues,blues rock,classic rock,rock,eric clapton,1970
rock,soft rock,british,ballad,elton john,1970
folk,70s,singer-songwriter,,,1970
,,,,,1970
1978,folk,rock,70s,pop,1970
singer-songwriter,folk,70s,james taylor,,1970
punk,punk rock,70s,rock,,1970
country,female vocalists,classic country,dolly parton,love,1970
singer-songwriter,70s,acoustic,jim croce,,1970
classic rock,rock,singer-songwriter,70s,neil young,1970
classic rock,folk rock,singer-songwriter,rock,folk,1970
reggae,bob marley,roots reggae,chill,,1970
christmas,xmas,,,,1970
classic rock,rock,70s,the rolling stones,british,1970
classic rock,rock,70s,female vocalists,,1970
classic rock,singer-songwriter,rock,folk,70s,1970
rock,folk rock,singer-songwriter,classic rock,,1970
classic rock,rock,70s,fleetwood mac,,1970
reggae,,,,,1970
classic rock,rock,blues,joe cocker,soul,1970
soul,70s,motown,funk,,1970
,,,,,1970
blues rock,little feat,,,,1970
rock,folk,folk rock,singer-songwriter,,1970
