song_name,total_chords,chords_in_key_sig,chords_not_in_key_sig,num_unique_chords,most_frequent_chords,tonic,tonic_frequency
paramore_interlude-im-not-angry-anymore,30,30,0,4,V,G,4
mitski_a-burning-hill,38,33,5,5,IV,D,12
birdy_wings,28,28,0,5,IV,G,7
taylor-swift_clean,92,92,0,4,V,E,19
sam-smith_like-i-can,97,97,0,6,i,Gm,26
dani-and-lizzy_dancing-in-the-sky,39,39,0,5,"vi,IV",B,8
for-king-country_little-drummer-boy,29,21,8,6,I,G,9
black-pumas_colors,35,24,11,4,"I,V,III",A,11
alicia-keys_girl-on-fire,71,71,0,5,vi,A,16
rihanna_fourfiveseconds,69,69,0,6,"IV,I",D,19
mitski_last-words-of-a-shooting-star,61,46,15,7,I,D,23
james-bay_hold-back-the-river,52,52,0,5,III,Dm,2
phil-wickham_living-hope,108,108,0,4,V,Eb,28
juice-wrld_lucid-dreams,138,99,39,4,"VI,V",Am,29
lana-del-rey_born-to-die,71,71,0,4,"V,vi",G,7
colter-wall_the-devil-wears-a-suit-and-tie,48,40,8,6,iii,D,6
big-thief_paul,44,36,8,5,IV,B,8
coyote-theory_this-side-of-paradise,49,49,0,5,IV,A,12
katy-perry_firework,92,92,0,4,"ii,vi",Ab,19
twenty-one-pilots_heathens,84,62,22,5,i,Am,32
johnny-flynn_the-water,82,77,5,6,I,C,21
lily-allen_somewhere-only-we-know,65,62,3,9,iii,A#,10
billie-eilish_six-feet-under,66,66,0,4,VII,Bm,17
phoebe-bridgers_scott-street,180,108,72,5,bVII,F,22
natalia-lafourcade_hasta-la-raiz,36,33,3,6,I,D#,9
lewis-capaldi_hold-me-while-you-wait,38,0,38,3,bV,C,0
coldplay_hymn-for-the-weekend,99,68,31,4,"IV,v",Fm,16
bruno-mars_versace-on-the-floor,72,46,26,15,V,D,9
sia_unstoppable,81,70,11,6,VI,F#m,10
coldplay_a-sky-full-of-stars,83,83,0,5,VI,Ebm,18
she-him_the-christmas-waltz,48,47,1,6,V,C,9
luke-combs_better-together,66,66,0,3,I,C,34
grace-vanderwaal_i-dont-know-my-name,55,0,55,4,bV,C,0
james-arthur_train-wreck,71,71,0,5,VI,F#m,21
train_shake-up-christmas,61,61,0,3,V,F,17
eminem_love-the-way-you-lie,78,78,0,4,"VI,III",Gm,16
sleeping-at-last_turning-page,49,49,0,5,IV,Eb,14
george-ezra_shotgun,64,64,0,4,"IV,vi",F,11
cavetown_home,62,53,9,5,I,C#,21
sufjan-stevens_fourth-of-july,105,26,79,6,VI,G,0
the-chainsmokers_closer,140,0,140,3,bIII,C,0
one-direction_if-i-could-fly,113,112,1,6,IV,F,33
coldplay_paradise,88,62,26,12,"IV,I",F,17
gnash_i-hate-u-i-love-u,67,67,0,4,v,F#m,14
lorde_royals,28,28,0,3,IV,G,9
frank-ocean_self-control,19,0,19,6,"bii,bV,bvi",Ab,0
walk-the-moon_shut-up-and-dance,158,158,0,4,IV,C#,35
wilbur-soot_its-all-futile-its-all-pointless,114,112,2,5,iii,B,24
ed-sheeran_dive,75,0,75,5,bii,C,0
hozier_like-real-people-do,53,53,0,2,I,G,43
ed-sheeran_tenerife-sea,125,125,0,4,V,Ab,33
sam-smith_writings-on-the-wall,69,56,13,7,V,G#,4
dodie_she,50,50,0,5,V,D,2
vance-joy_im-with-you,125,125,0,5,I,G,39
taylor-swift_shake-it-off,38,38,0,3,IV,G,12
frank-ocean_ivy,101,101,0,4,vi,Db,21
chris-tomlin_he-shall-reign-forevermore,94,94,0,6,III,Gm,16
dr-dog_whered-all-the-time-go,39,39,0,6,IV,D,3
lil-peep_star-shopping,50,50,0,5,I,D,13
jessie-reyez_figures,76,76,0,4,"V,ii",G,16
taylor-swift_call-it-what-you-want,76,10,66,4,VI,G,0
kacey-musgraves_slow-burn,128,69,59,5,VII,Am,0
morgan-wallen_chasin-you,111,111,0,4,V,G,24
5-seconds-of-summer_ghost-of-you,82,82,0,5,I,Bb,24
mitski_a-pearl,69,42,27,7,IV,Eb,13
ed-maverick_fuentes-de-ortiz,50,50,0,3,V,C#,18
pnk_what-about-us,84,84,0,3,VI,Fm,24
lauren-daigle_rescue,60,60,0,4,IV,F#,15
clairo_bags,72,72,0,3,vi,Db,0
tom-rosenthal_go-solo,19,19,0,3,I,C#,11
the-band-of-heathens_hurricane,122,82,40,5,i,Am,47
adele_send-my-love-to-your-new-lover,15,15,0,2,vi,D,7
the-neighbourhood_daddy-issues,47,47,0,5,vi,A#,11
jason-isbell_cover-me-up,59,59,0,4,IV,Eb,25
the-black-keys_lonely-boy,69,49,20,3,I,E,30
taylor-swift_mine,129,129,0,4,"I,V",G,41
taylor-swift_the-last-time,76,76,0,4,V,D,16
rex-orange-county_happiness,64,46,18,8,I,F,14
xxxtentacion_the-remedy-for-a-broken-heart-why-am-i-so-in-love,56,56,0,3,v,A#m,14
lukas-graham_love-someone,86,86,0,6,vi,C,9
halsey_without-me,90,90,0,4,"III,VII",Ebm,18
