song_name,total_chords,chords_in_key_sig,chords_not_in_key_sig,num_unique_chords,most_frequent_chords,tonic,tonic_frequency
madonna_la-isla-bonita,111,106,5,8,V,E,18
bonnie-tyler_holding-out-for-a-hero,65,55,10,7,vi,C,6
hank-williams-jr-_a-country-boy-can-survive,108,94,14,6,V,G,26
vesa-matti-loiri_tonttu,176,176,0,5,vi,G,11
john-lennon_just-like-starting-over,57,48,9,11,V,A,13
don-henley_the-boys-of-summer,43,25,18,5,#VI,C#,17
kim-carnes_bette-davis-eyes,117,117,0,4,IV,F,18
bon-jovi_ill-be-there-for-you,93,66,27,9,I,G,24
rick-springfield_jessies-girl,112,91,21,7,V,D,23
the-alan-parsons-project_eye-in-the-sky,47,39,8,6,vi,D,10
waylon-jennings_luckenbach-texas,42,42,0,4,"V,IV",G,11
gipsy-kings_volare,54,51,3,7,V,E,11
bruce-springsteen_born-in-the-usa,29,29,0,2,I,E,17
the-jam_thats-entertainment,81,81,0,4,VII,Cm,9
cutting-crew_i-just-died-in-your-arms,68,64,4,7,VII,Bm,13
dexys-midnight-runners_come-on-eileen,84,63,21,8,IV,D,9
george-benson_nothings-gonna-change-my-love-for-you,94,57,37,18,IV,C#,12
queen_i-want-it-all,72,50,22,7,I,A,27
madonna_like-a-prayer,106,106,0,6,V,F,20
cyndi-lauper_true-colors,70,70,0,6,I,C,22
bing-crosby_peace-on-earth-little-drummer-boy,89,36,53,9,II,G#,1
yazoo_only-you,77,77,0,4,V,G,21
the-waterboys_fishermans-blues,36,36,0,4,IV,C,5
the-stranglers_golden-brown,202,202,0,6,I,D,57
phil-collins_another-day-in-paradise,98,98,0,5,V,G#,1
indigo-girls_closer-to-fine,182,140,42,4,I,E,90
george-harrison_got-my-mind-set-on-you,137,128,9,5,I,E,49
michael-jackson_human-nature,178,177,1,7,V,D,22
john-lennon_watching-the-wheels,71,63,8,7,IV,C,10
david-bowie_ashes-to-ashes,88,77,11,9,V,C#,8
billy-idol_eyes-without-a-face,41,41,0,5,VII,C#m,5
dolly-parton_9-to-5,39,33,6,4,IV,F#,12
janes-addiction_jane-says,136,67,69,2,#VI,A,67
