,i,IV,vi,ii,V,#iv,VI,bV,II,III,#v,I,iii,iv,VII,v,#VI,#II,bVII,#vi,#V,#IV,vii,#I,bVI
ii,0.0053475935828877,0.1483957219251337,0.06417112299465241,0.04679144385026738,0.3729946524064171,0.0,0.0053475935828877,0.0,0.0053475935828877,0.008021390374331552,0.0,0.2179144385026738,0.029411764705882353,0.00267379679144385,0.0,0.008021390374331552,0.07887700534759358,0.0,0.0,0.0,0.0,0.0,0.00267379679144385,0.004010695187165776,0.0
v,0.24875621890547264,0.009950248756218905,0.009950248756218905,0.01990049751243781,0.0,0.0,0.12935323383084577,0.0,0.0,0.0,0.0,0.2537313432835821,0.0,0.1890547263681592,0.029850746268656716,0.05472636815920398,0.0,0.03980099502487562,0.0,0.004975124378109453,0.009950248756218905,0.0,0.0,0.0,0.0
#II,0.09523809523809523,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.047619047619047616,0.0,0.11904761904761904,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.14285714285714285,0.023809523809523808,0.0,0.0,0.0,0.0,0.09523809523809523,0.0,0.14285714285714285,0.0
VII,0.2897196261682243,0.059190031152647975,0.0,0.0,0.0,0.0,0.12149532710280374,0.0,0.0,0.028037383177570093,0.0,0.0529595015576324,0.09345794392523364,0.10903426791277258,0.08099688473520249,0.1526479750778816,0.012461059190031152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#VI,0.0,0.3876651982378855,0.022026431718061675,0.013215859030837005,0.05286343612334802,0.0,0.06167400881057269,0.0,0.030837004405286344,0.0,0.0,0.32599118942731276,0.013215859030837005,0.0,0.0,0.01762114537444934,0.04405286343612335,0.013215859030837005,0.0,0.013215859030837005,0.0,0.004405286343612335,0.0,0.0,0.0
bVII,0.0,0.375,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0625,0.0,0.10416666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0
#vi,0.05555555555555555,0.16666666666666666,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.2222222222222222,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.05555555555555555,0.1111111111111111,0.0,0.0,0.0
bV,0.0,0.16,0.08,0.0,0.0,0.0,0.24,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24
bVI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
#I,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.23076923076923078,0.0,0.0,0.34615384615384615,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.3076923076923077,0.0,0.0,0.0,0.0
