,I,#iii,#vii,II,V,ii,IV,vi,iii,III,VI,#VI,VII,v,iv,#II,bIII,i,bVII,bII,vii,#I,#V,#IV,#III,bVI,#i,#VII,#ii
ii,0.1807909604519774,0.0,0.0,0.0,0.268361581920904,0.03248587570621469,0.2542372881355932,0.11016949152542373,0.03531073446327684,0.01977401129943503,0.005649717514124294,0.025423728813559324,0.01694915254237288,0.01694915254237288,0.012711864406779662,0.0,0.0,0.0,0.011299435028248588,0.009887005649717515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iii,0.15,0.0,0.0,0.0575,0.1125,0.055,0.1725,0.25,0.0125,0.0,0.0325,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0425,0.0,0.0,0.0,0.055,0.0225
vii,0.043478260869565216,0.0,0.0,0.10869565217391304,0.30434782608695654,0.0,0.021739130434782608,0.0,0.08695652173913043,0.06521739130434782,0.06521739130434782,0.0,0.0,0.0,0.0,0.0,0.0,0.2608695652173913,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
III,0.015184381778741865,0.0,0.0,0.026030368763557483,0.02386117136659436,0.0,0.0824295010845987,0.1279826464208243,0.0,0.14533622559652928,0.08676789587852494,0.0,0.2668112798264642,0.03036876355748373,0.08459869848156182,0.0,0.0,0.10412147505422993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006507592190889371,0.0,0.0,0.0
bVII,0.4067796610169492,0.0,0.0,0.0,0.0,0.1271186440677966,0.06779661016949153,0.0,0.0,0.0,0.06779661016949153,0.0,0.0,0.05084745762711865,0.0,0.0,0.1271186440677966,0.1271186440677966,0.025423728813559324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#VI,0.13736263736263737,0.0,0.06593406593406594,0.0,0.04945054945054945,0.06593406593406594,0.36813186813186816,0.027472527472527472,0.0,0.01098901098901099,0.0,0.02197802197802198,0.0,0.0,0.038461538461538464,0.016483516483516484,0.0,0.04395604395604396,0.0,0.0,0.0,0.0,0.027472527472527472,0.0,0.11538461538461539,0.0,0.0,0.01098901098901099,0.0
#III,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.7083333333333334,0.0
#VII,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05454545454545454,0.0,0.03636363636363636,0.14545454545454545,0.10909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34545454545454546,0.0,0.0,0.18181818181818182,0.12727272727272726,0.0
#i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8461538461538461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0
#II,0.0,0.0,0.0,0.0,0.06896551724137931,0.27586206896551724,0.13793103448275862,0.0,0.0,0.0,0.0,0.5172413793103449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#vii,0.038461538461538464,0.0,0.0,0.23076923076923078,0.7307692307692307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#IV,0.0,0.0,0.0,0.0,0.0,0.0,0.11842105263157894,0.039473684210526314,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039473684210526314,0.5394736842105263,0.0,0.039473684210526314,0.0,0.0,0.0,0.07894736842105263,0.11842105263157894
#I,0.0,0.0,0.0,0.0,0.03389830508474576,0.0,0.0,0.13559322033898305,0.5084745762711864,0.0,0.0,0.0,0.1694915254237288,0.0,0.0,0.0,0.0,0.03389830508474576,0.0,0.0,0.0,0.0,0.0,0.11864406779661017,0.0,0.0,0.0,0.0,0.0
bVI,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.2857142857142857,0.0,0.6428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bIII,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.2708333333333333,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0625,0.0625,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0
#ii,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#V,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bII,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22580645161290322,0.2903225806451613,0.0,0.0,0.0,0.0,0.0,0.4838709677419355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
