,#VI,ii,V,vi,I,IV,VI,II,iii,i,III,#II,bIII,#V,VII,iv,bVII,#I,v,#IV,vii
VII,0.006134969325153374,0.018404907975460124,0.09202453987730061,0.006134969325153374,0.13496932515337423,0.024539877300613498,0.10429447852760736,0.0,0.20245398773006135,0.2147239263803681,0.03067484662576687,0.0,0.0,0.0,0.10429447852760736,0.0,0.0,0.0,0.049079754601226995,0.012269938650306749,0.0
III,0.0,0.013953488372093023,0.05581395348837209,0.20465116279069767,0.037209302325581395,0.25116279069767444,0.2186046511627907,0.10232558139534884,0.037209302325581395,0.0,0.07441860465116279,0.004651162790697674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#II,0.0,0.04597701149425287,0.3563218390804598,0.0,0.09195402298850575,0.26436781609195403,0.011494252873563218,0.05747126436781609,0.0,0.0,0.011494252873563218,0.0,0.0,0.08045977011494253,0.0,0.0,0.0,0.06896551724137931,0.011494252873563218,0.0,0.0
#V,0.29310344827586204,0.0,0.22413793103448276,0.0,0.10344827586206896,0.0,0.0,0.0,0.0,0.0,0.05172413793103448,0.13793103448275862,0.0,0.08620689655172414,0.05172413793103448,0.0,0.0,0.05172413793103448,0.0,0.0,0.0
vii,0.0,0.09090909090909091,0.0,0.18181818181818182,0.09090909090909091,0.0,0.0,0.0,0.45454545454545453,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bIII,0.0,0.16666666666666666,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bVII,0.0,0.0425531914893617,0.1276595744680851,0.0,0.2765957446808511,0.06382978723404255,0.19148936170212766,0.23404255319148937,0.0,0.0425531914893617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0
v,0.0,0.0,0.0,0.0,0.25316455696202533,0.08860759493670886,0.2911392405063291,0.012658227848101266,0.0,0.3037974683544304,0.012658227848101266,0.0,0.0,0.012658227848101266,0.0,0.0,0.02531645569620253,0.0,0.0,0.0,0.0
i,0.08791208791208792,0.03296703296703297,0.04395604395604396,0.0,0.0,0.0,0.2087912087912088,0.016483516483516484,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.09340659340659341,0.15384615384615385,0.0,0.0,0.07692307692307693,0.0,0.0
#I,0.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5882352941176471,0.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.058823529411764705,0.11764705882352941,0.0
#IV,0.0,0.0,0.0,0.0,0.0,0.5384615384615384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0
